,Cuisine,Number of Restaurants
0,North Indian,970
1,Chinese,822
2,Fast Food,655
3,Beverages,435
4,Continental,317
5,Italian,312
6,Desserts,293
7,Biryani,285
8,South Indian,284
9,Mughlai,218
10,Street Food,202
11,Cafe,188
12,Rolls,161
13,Pizza,154
14,Burger,151
15,Sandwich,141
16,Salad,133
17,Healthy Food,129
18,Momos,128
19,Asian,119
20,Seafood,114
21,Bakery,110
22,Mithai,94
23,Thai,88
24,Kebab,83
25,American,81
26,Ice Cream,69
27,Mexican,66
28,Juices,62
29,European,52
30,Bengali,49
31,Andhra,46
32,Arabian,46
33,Lebanese,45
34,Finger Food,45
35,Maharashtrian,43
36,Wraps,41
37,Kerala,41
38,Japanese,38
39,BBQ,34
40,Hyderabadi,29
41,Tea,28
42,Mediterranean,23
43,Sushi,21
44,Tibetan,19
45,Rajasthani,18
46,Coffee,17
47,Modern Indian,16
48,Mangalorean,15
49,Afghan,15
50,Mishti,13
51,Bar Food,13
52,Odia,11
53,Vietnamese,11
54,Gujarati,11
55,Malwani,10
56,Korean,10
57,Bihari,10
58,Chettinad,10
59,Awadhi,9
60,Steak,9
61,Malaysian,9
62,Raw Meats,9
63,Lucknowi,9
64,Burmese,7
65,Paan,6
66,North Eastern,6
67,Kashmiri,6
68,Parsi,5
69,Poké,5
70,Bubble Tea,5
71,Goan,4
72,Iranian,4
73,German,4
74,Turkish,4
75,Naga,4
76,Konkan,4
77,Middle Eastern,4
78,Tex-Mex,4
79,French,3
80,Roast Chicken,3
81,Frozen Yogurt,2
82,Brazilian,2
83,Bangladeshi,2
84,Hot dogs,2
85,Nepalese,2
86,Charcoal Chicken,2
87,Indonesian,2
88,Tamil,2
89,Israeli,2
90,Assamese,2
91,Belgian,2
92,Indian,2
93,South American,1
94,Portuguese,1
95,Spanish,1
96,Cantonese,1
97,Greek,1
98,Bohri,1
99,Sri Lankan,1
100,African,1
